*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB_compactadora
*Date=21:41:24
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;16.3808;-95.1013;0;Bottom;Load cell
2;;DIP (Dual Inline) [THT];11.4809;-31.6012;0;Bottom;RelevadorR
3;;;118.466;-6.2791;0;Bottom;Copper Fill113
4;;;86.3473;-9.7208;0;Bottom;Copper Fill152
5;;;127.051;-59.5411;0;Bottom;Via6
6;;;60.9473;-25.7228;0;Bottom;Copper Fill64
7;;;29.6164;-11.3591;0;Bottom;Copper Fill165
8;;;114.287;-96.0554;0;Bottom;Copper Fill123
9;;;16.0782;-31.6283;0;Bottom;Copper Fill146
10;;;115.621;-60.8002;0;Bottom;Copper Fill90
11;;;135.509;-6.2791;0;Bottom;Copper Fill28
12;;;5.0673;-40.1754;0;Bottom;Copper Fill71
13;;;115.621;-65.8802;0;Bottom;Copper Fill6
14;;;57.5564;-11.3591;0;Bottom;Copper Fill47
15;;;115.621;-48.1002;0;Bottom;Copper Fill13
16;;;115.621;-70.9602;0;Bottom;Copper Fill86
17;;;115.621;-63.3402;0;Bottom;Copper Fill89
18;;;51.6382;-11.3591;0;Bottom;Copper Fill160
19;;;115.621;-50.6402;0;Bottom;Copper Fill94
20;;;8.4582;-62.1083;0;Bottom;Copper Fill81
21;;;83.8711;-44.301;0;Bottom;Via9
22;;;72.7456;-8.8191;0;Bottom;Copper Fill163
23;;THT;138.301;-8.7221;0;Bottom;Lift_button
24;;DIP (Dual Inline) [THT];54.6609;-11.2812;0;Bottom;RelevadorGLED
25;;;115.621;-48.1002;0;Bottom;Copper Fill95
26;;THT;102.741;-87.4621;0;Bottom;ON_Switch
27;;;85.4456;-8.8191;0;Bottom;Copper Fill69
28;;;137.147;-83.3554;0;Bottom;Copper Fill49
29;;;138.049;-82.4283;0;Bottom;Copper Fill134
30;;;98.1456;-84.9683;0;Bottom;Copper Fill39
31;;;14.3764;-62.1083;0;Bottom;Copper Fill147
32;;;31.3182;-11.3591;0;Bottom;Copper Fill77
33;;;132.131;-67.1611;0;Bottom;Via16
